 NUMERO DE PATAMARES
 XX
  3
ANO   DURACAO MENSAL DOS PATAMARES DE CARGA
      JAN     FEV     MAR     ABR     MAI     JUN     JUL     AGO     SET     OUT     NOV     DEZ   
      X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX
        0.8610 0.8629 0.8587 0.8418 0.8220 0.8160 0.8036 0.8172 0.8278 0.8320 0.8484 0.8623
   2034 1.2111 1.2090 1.2347 1.2176 1.2012 1.2090 1.1895 1.2037 1.1936 1.1883 1.2290 1.1946
        1.0669 1.0627 1.0917 1.0839 1.0763 1.0886 1.0731 1.0834 1.0931 1.0852 1.1024 1.0789
        0.8610 0.8629 0.8587 0.8418 0.8220 0.8160 0.8036 0.8172 0.8278 0.8320 0.8484 0.8623
   2035 1.2111 1.2090 1.2347 1.2176 1.2012 1.2090 1.1895 1.2037 1.1936 1.1883 1.2290 1.1946
        1.0669 1.0627 1.0917 1.0839 1.0763 1.0886 1.0731 1.0834 1.0931 1.0852 1.1024 1.0789
        0.8610 0.8629 0.8587 0.8418 0.8220 0.8160 0.8036 0.8172 0.8278 0.8320 0.8484 0.8623
   2036 1.2111 1.2090 1.2347 1.2176 1.2012 1.2090 1.1895 1.2037 1.1936 1.1883 1.2290 1.1946
        1.0669 1.0627 1.0917 1.0839 1.0763 1.0886 1.0731 1.0834 1.0931 1.0852 1.1024 1.0789
        0.8610 0.8629 0.8587 0.8418 0.8220 0.8160 0.8036 0.8172 0.8278 0.8320 0.8484 0.8623
   3
   2021 1.1108 1.1029 1.0887 1.0945 1.0909 1.0810 1.0803 1.0877 1.0923 1.0970 1.1119 1.0887
        1.0429 1.0467 1.0549 1.0641 1.0428 1.0380 1.0392 1.0414 1.0616 1.0576 1.0481 1.0366
        0.9335 0.9296 0.9212 0.9190 0.9161 0.9212 0.9194 0.9126 0.9156 0.9241 0.9269 0.9320
   2022 1.1092 1.0975 1.0933 1.0973 1.0865 1.0808 1.0843 1.0832 1.0923 1.0974 1.1119 1.0876
        1.0406 1.0425 1.0585 1.0666 1.0385 1.0381 1.0437 1.0373 1.0614 1.0580 1.0481 1.0368
        0.9302 0.9286 0.9225 0.9220 0.9148 0.9213 0.9205 0.9114 0.9157 0.9237 0.9269 0.9373
   2023 1.1048 1.1029 1.0878 1.1023 1.0863 1.0805 1.0847 1.0828 1.0942 1.0955 1.1119 1.0952
        1.0364 1.0467 1.0545 1.0705 1.0384 1.0382 1.0438 1.0371 1.0638 1.0556 1.0481 1.0436
        0.9292 0.9296 0.9219 0.9234 0.9150 0.9215 0.9202 0.9118 0.9193 0.9204 0.9269 0.9395
   2024 1.1044 1.1020 1.1004 1.0860 1.0905 1.0850 1.0791 1.0844 1.0954 1.0891 1.1119 1.0946
        1.0361 1.0456 1.0640 1.0575 1.0423 1.0428 1.0360 1.0402 1.0634 1.0502 1.0481 1.0425
        0.9296 0.9288 0.9273 0.9156 0.9166 0.9224 0.9155 0.9157 0.9129 0.9156 0.9269 0.9357
   2025 1.1040 1.0975 1.1007 1.0952 1.0879 1.0854 1.0789 1.0887 1.0880 1.0863 1.1119 1.0911
        1.0359 1.0425 1.0642 1.0639 1.0416 1.0426 1.0359 1.0447 1.0583 1.0488 1.0481 1.0391
        0.9299 0.9286 0.9271 0.9187 0.9188 0.9222 0.9157 0.9169 0.9139 0.9182 0.9269 0.9343
   2026 1.1040 1.0975 1.1007 1.0952 1.0879 1.0854 1.0789 1.0887 1.0880 1.0863 1.1119 1.0911
        1.0359 1.0425 1.0642 1.0639 1.0416 1.0426 1.0359 1.0447 1.0583 1.0488 1.0481 1.0391
        0.9299 0.9286 0.9271 0.9187 0.9188 0.9222 0.9157 0.9169 0.9139 0.9182 0.9269 0.9343
   2027 1.1040 1.0975 1.1007 1.0952 1.0879 1.0854 1.0789 1.0887 1.0880 1.0863 1.1119 1.0911
        1.0359 1.0425 1.0642 1.0639 1.0416 1.0426 1.0359 1.0447 1.0583 1.0488 1.0481 1.0391
        0.9299 0.9286 0.9271 0.9187 0.9188 0.9222 0.9157 0.9169 0.9139 0.9182 0.9269 0.9343
   2028 1.1040 1.0975 1.1007 1.0952 1.0879 1.0854 1.0789 1.0887 1.0880 1.0863 1.1119 1.0911
        1.0359 1.0425 1.0642 1.0639 1.0416 1.0426 1.0359 1.0447 1.0583 1.0488 1.0481 1.0391
        0.9299 0.9286 0.9271 0.9187 0.9188 0.9222 0.9157 0.9169 0.9139 0.9182 0.9269 0.9343
   2029 1.1040 1.0975 1.1007 1.0952 1.0879 1.0854 1.0789 1.0887 1.0880 1.0863 1.1119 1.0911
        1.0359 1.0425 1.0642 1.0639 1.0416 1.0426 1.0359 1.0447 1.0583 1.0488 1.0481 1.0391
        0.9299 0.9286 0.9271 0.9187 0.9188 0.9222 0.9157 0.9169 0.9139 0.9182 0.9269 0.9343
   2030 1.1040 1.0975 1.1007 1.0952 1.0879 1.0854 1.0789 1.0887 1.0880 1.0863 1.1119 1.0911
        1.0359 1.0425 1.0642 1.0639 1.0416 1.0426 1.0359 1.0447 1.0583 1.0488 1.0481 1.0391
        0.9299 0.9286 0.9271 0.9187 0.9188 0.9222 0.9157 0.9169 0.9139 0.9182 0.9269 0.9343
   2031 1.1040 1.0975 1.1007 1.0952 1.0879 1.0854 1.0789 1.0887 1.0880 1.0863 1.1119 1.0911
        1.0359 1.0425 1.0642 1.0639 1.0416 1.0426 1.0359 1.0447 1.0583 1.0488 1.0481 1.0391
        0.9299 0.9286 0.9271 0.9187 0.9188 0.9222 0.9157 0.9169 0.9139 0.9182 0.9269 0.9343
   2032 1.1040 1.0975 1.1007 1.0952 1.0879 1.0854 1.0789 1.0887 1.0880 1.0863 1.1119 1.0911
        1.0359 1.0425 1.0642 1.0639 1.0416 1.0426 1.0359 1.0447 1.0583 1.0488 1.0481 1.0391
        0.9299 0.9286 0.9271 0.9187 0.9188 0.9222 0.9157 0.9169 0.9139 0.9182 0.9269 0.9343
   2033 1.1040 1.0975 1.1007 1.0952 1.0879 1.0854 1.0789 1.0887 1.0880 1.0863 1.1119 1.0911
        1.0359 1.0425 1.0642 1.0639 1.0416 1.0426 1.0359 1.0447 1.0583 1.0488 1.0481 1.0391
        0.9299 0.9286 0.9271 0.9187 0.9188 0.9222 0.9157 0.9169 0.9139 0.9182 0.9269 0.9343
   2034 1.1040 1.0975 1.1007 1.0952 1.0879 1.0854 1.0789 1.0887 1.0880 1.0863 1.1119 1.0911
        1.0359 1.0425 1.0642 1.0639 1.0416 1.0426 1.0359 1.0447 1.0583 1.0488 1.0481 1.0391
        0.9299 0.9286 0.9271 0.9187 0.9188 0.9222 0.9157 0.9169 0.9139 0.9182 0.9269 0.9343
   2035 1.1040 1.0975 1.1007 1.0952 1.0879 1.0854 1.0789 1.0887 1.0880 1.0863 1.1119 1.0911
