NUS  TIPO  VALORNEW MI ANOI MF ANOF  COMENTARIO
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
 176 POTEF     0.00  1 2027          PORTO ITAQUI
 176 FCMAX     0.00  1 2027          PORTO ITAQUI
 182 POTEF   175.56  5 2021 12 2025  PALMEIRAS GO
 182 FCMAX    80.00  5 2021 12 2025  PALMEIRAS GO
 182 POTEF     0.00  1 2026          PALMEIRAS GO
 182 FCMAX     0.00  1 2026          PALMEIRAS GO
 183 POTEF   490.00  5 2021          DO ATLANTICO
 183 GTMIN   419.80  5 2021          DO ATLANTICO
 194 POTEF   340.00  5 2021 12 2021  T.NORTE 2
 194 FCMAX     0.00  5 2021 12 2021  T.NORTE 2
 194 FCMAX     0.00  1 2022          T.NORTE 2
 194 POTEF     0.00  1 2022          T.NORTE 2
 201 POTEF   166.00  5 2021 12 2021  APARECIDA
 201 GTMIN   115.84  5 2021 12 2021  APARECIDA
 201 FCMAX   100.00  5 2021 12 2021  APARECIDA
 201 POTEF     0.00  1 2022          APARECIDA
 201 GTMIN     0.00  1 2022          APARECIDA
 201 FCMAX     0.00  1 2022          APARECIDA
 203 POTEF    85.38  5 2021 12 2021  C ROCHA
 203 FCMAX     0.00  5 2021          C ROCHA
 203 POTEF     0.00  2 2022          C ROCHA
 204 POTEF    75.48  5 2021 12 2021  JARAQUI
 204 GTMIN    62.99  5 2021 12 2021  JARAQUI
 204 FCMAX    86.95  5 2021 12 2021  JARAQUI
 204 POTEF     0.00  1 2022          JARAQUI
 205 POTEF    66.80  5 2021 12 2021  MANAUARA
 205 GTMIN    64.50  5 2021 12 2021  MANAUARA
 205 FCMAX    99.43  5 2021 12 2021  MANAUARA
 205 POTEF     0.00  1 2022          MANAUARA
 207 POTEF    66.00  5 2021 12 2021  PONTA NEGRA
 207 GTMIN    64.00  5 2021 12 2021  PONTA NEGRA
 207 FCMAX   100.00  5 2021 12 2021  PONTA NEGRA
 207 POTEF     0.00  1 2022          PONTA NEGRA
 209 POTEF    93.04  5 2021 12 2021  TAMBAQUI
 209 GTMIN    63.00  5 2021 12 2021  TAMBAQUI
 209 FCMAX    70.54  5 2021 12 2021  TAMBAQUI
 209 POTEF     0.00  1 2022          TAMBAQUI
 211 POTEF   530.00  5 2021 12 2033  BAIXADA FLU
 211 POTEF     0.00  1 2034          BAIXADA FLU
 212 POTEF   518.80  5 2021 12 2033  MARANHAO III
 212 GTMIN   241.63  5 2021 12 2033  MARANHAO III
 212 FCMAX   100.00  5 2021 12 2033  MARANHAO III
 212 POTEF     0.00  1 2034          MARANHAO III
 221 POTEF    30.00  5 2021          SYKUE I
 221 FCMAX     0.00  5 2021          SYKUE I
 223 POTEF    50.18 12 2023          PROSPERI III
 223 FCMAX   100.00 12 2023          PROSPERI III
 224 POTEF  1515.64  5 2021          P. SERGIPE I
 228 POTEF     5.54 12 2023          O. CANOAS 1
 228 GTMIN     2.25 12 2023          O. CANOAS 1
 229 POTEF    50.00  5 2021          ONCA PINTADA
 229 GTMIN     6.86  5 2021          ONCA PINTADA
 230 POTEF     5.00  5 2021          PREDILECTA
 230 GTMIN     1.00  5 2021          PREDILECTA
 235 POTEF   144.00  4 2023          CAMACARI MII
 235 FCMAX   100.00  4 2023          CAMACARI MII
 236 POTEF   565.50  8 2023          MARLIM AZUL
 236 GTMIN     0.00  8 2023  8 2023  MARLIM AZUL
 236 GTMIN     0.00  9 2023  9 2023  MARLIM AZUL
 236 GTMIN     0.00 10 2023 10 2023  MARLIM AZUL
 236 GTMIN   420.84 11 2023 11 2023  MARLIM AZUL
 236 GTMIN   420.84 12 2023 12 2023  MARLIM AZUL
 236 GTMIN   420.84  1 2024  1 2024  MARLIM AZUL
 236 GTMIN   420.84  2 2024  2 2024  MARLIM AZUL
 236 GTMIN   420.84  3 2024  3 2024  MARLIM AZUL
 236 GTMIN   420.84  4 2024  4 2024  MARLIM AZUL
 236 GTMIN     0.00  5 2024  5 2024  MARLIM AZUL
 236 GTMIN     0.00  6 2024  6 2024  MARLIM AZUL
 236 GTMIN     0.00  7 2024  7 2024  MARLIM AZUL
 236 GTMIN     0.00  8 2024  8 2024  MARLIM AZUL
 236 GTMIN     0.00  9 2024  9 2024  MARLIM AZUL
 236 GTMIN     0.00 10 2024 10 2024  MARLIM AZUL
 236 GTMIN   420.84 11 2024 11 2024  MARLIM AZUL
 236 GTMIN   420.84 12 2024 12 2024  MARLIM AZUL
