AGRUPAMENTOS DE INTERCÂMBIO
 #AG A   B   COEF
 XXX XXX XXX XX.XXXX
   1  11   3  1.0000
   1   1   3  1.0000
   2   3  11  1.0000
   2   3   1  1.0000
   4  11   1  1.0000
   4   3   1  1.0000
   4   4   1  1.0000
   5  11   1  1.0000
   5   4   1  1.0000
   6  11   1  1.0000
   6   4   1  1.0000
   6   1   3  1.0000
   7  11   1  1.0000
   7  11   3  1.0000
   8   1  11  1.0000
   8   1   4  1.0000
  12   4   1  1.0000
  12  11   1  1.0000
 999
LIMITES POR GRUPO
  #AG MI ANOI MF ANOF LIM_P1  LIM_P2  LIM_P3  LIM_P4
 XXX  XX XXXX XX XXXX XXXXXX. XXXXXX. XXXXXX. XXXXXX.
   2   1 2024  1 2024  14700.  14700.  13800.  14500.
   2   2 2024  2 2024  14700.  14700.  13800.  14500.
   2   3 2024  3 2024  14700.  14700.  13800.  14500.
   2   4 2024  4 2024  14700.  14700.  13800.  14500.
   2   5 2024  5 2024  14700.  14700.  13800.  14500.
   2   6 2024  6 2024  14700.  14700.  13800.  14500.
   2   7 2024  7 2024  14700.  14700.  13800.  14500.
   2   8 2024  8 2024  14700.  14700.  13800.  14500.
   2   9 2024  9 2024  14700.  14700.  13800.  14500.
   2  10 2024 10 2024  14700.  14700.  13800.  14500.
   2  11 2024 11 2024  14700.  14700.  13800.  14500.
   2  12 2024 12 2024  14700.  14700.  13800.  14500.
   2   1 2025  1 2025  14700.  14700.  13800.  14500.
   2   2 2025  2 2025  14700.  14700.  13800.  14500.
   2   3 2025  3 2025  14700.  14700.  13800.  14500.
   2   4 2025  4 2025  14700.  14700.  13800.  14500.
   2   5 2025  5 2025  14700.  14700.  13800.  14500.
   2   6 2025  6 2025  14700.  14700.  13800.  14500.
   2   7 2025  7 2025  14700.  14700.  13800.  14500.
   2   8 2025  8 2025  14700.  14700.  13800.  14500.
   2   9 2025  9 2025  14700.  14700.  13800.  14500.
   2  10 2025 10 2025  14700.  14700.  13800.  14500.
   2  11 2025 11 2025  14700.  14700.  13800.  14500.
   2  12 2025 12 2025  14700.  14700.  13800.  14500.
   2   1 2026  1 2026  14700.  14700.  13800.  14500.
   2   2 2026  2 2026  14700.  14700.  13800.  14500.
   2   3 2026  3 2026  14700.  14700.  13800.  14500.
   2   4 2026  4 2026  15500.  15500.  14600.  15300.
   2   5 2026  5 2026  15500.  15500.  14600.  15300.
   2   6 2026  6 2026  15500.  15500.  14600.  15300.
   2   7 2026  7 2026  15500.  15500.  14600.  15300.
   2   8 2026  8 2026  15500.  15500.  14600.  15300.
   2   9 2026  9 2026  15500.  15500.  14600.  15300.
   2  10 2026 10 2026  15500.  15500.  14600.  15300.
   2  11 2026 11 2026  15500.  15500.  14600.  15300.
   2  12 2026 12 2026  15500.  15500.  14600.  15300.
   2   1 2027  1 2027  15500.  15500.  14600.  15300.
   2   2 2027  2 2027  15500.  15500.  14600.  15300.
   2   3 2027  3 2027  15500.  15500.  14600.  15300.
   2   4 2027  4 2027  15500.  15500.  14600.  15300.
   2   5 2027  5 2027  15500.  15500.  14600.  15300.
   2   6 2027  6 2027  15500.  15500.  14600.  15300.
   2   7 2027  7 2027  15500.  15500.  14600.  15300.
   2   8 2027  8 2027  15500.  15500.  14600.  15300.
   2   9 2027  9 2027  15500.  15500.  14600.  15300.
   2  10 2027 10 2027  15500.  15500.  14600.  15300.
   2  11 2027 11 2027  15500.  15500.  14600.  15300.
   2  12 2027 12 2027  15500.  15500.  14600.  15300.
   2   1 2028  1 2028  15500.  15500.  14600.  15300.
   2   2 2028  2 2028  15500.  15500.  14600.  15300.
   2   3 2028  3 2028  15500.  15500.  14600.  15300.
   2   4 2028  4 2028  15500.  15500.  14600.  15300.
   2   5 2028  5 2028  15500.  15500.  14600.  15300.
   2   6 2028  6 2028  15500.  15500.  14600.  15300.
   2   7 2028  7 2028  15500.  15500.  14600.  15300.
   2   8 2028  8 2028  15500.  15500.  14600.  15300.
   2   9 2028  9 2028  15500.  15500.  14600.  15300.
   2  10 2028 10 2028  15500.  15500.  14600.  15300.
   2  11 2028 11 2028  15500.  15500.  14600.  15300.
   2  12 2028 12 2028  15500.  15500.  14600.  15300.
   2   1 2029  1 2029  15500.  15500.  14600.  15300.
   2   2 2029  2 2029  15500.  15500.  14600.  15300.
   2   3 2029  3 2029  15500.  15500.  14600.  15300.
   2   4 2029  4 2029  15500.  15500.  14600.  15300.
   2   5 2029  5 2029  15500.  15500.  14600.  15300.
   2   6 2029  6 2029  15500.  15500.  14600.  15300.
   2   7 2029  7 2029  15500.  15500.  14600.  15300.
   2   8 2029  8 2029  15500.  15500.  14600.  15300.
   2   9 2029  9 2029  15500.  15500.  14600.  15300.
   2  10 2029 10 2029  15500.  15500.  14600.  15300.
   2  11 2029 11 2029  15500.  15500.  14600.  15300.
   2  12 2029 12 2029  15500.  15500.  14600.  15300.
   2   1 2030  1 2030  15500.  15500.  14600.  15300.
   2   2 2030  2 2030  15500.  15500.  14600.  15300.
   2   3 2030  3 2030  15500.  15500.  14600.  15300.
